"","q7a","q7b","q7c","q7d","q7e","q7f","q7g","q7h","q7i","q7j","q7k"
"103402",3,2,2,2,2,3,2,1,2,4,4
"103403",3,2,2,1,1,4,2,2,2,4,3
"103404",2,2,3,1,1,3,2,1,1,4,3
"103405",2,2,2,2,2,3,2,2,2,3,3
"103406",2,1,2,2,3,2,4,1,1,4,4
"103407",3,2,2,1,1,3,2,2,1,2,2
"103408",2,2,3,3,3,2,1,1,2,4,4
"103409",2,1,3,2,1,3,2,2,1,3,4
"103410",2,2,2,3,2,2,3,1,1,4,3
"103501",2,1,2,2,2,2,3,1,2,3,3
"103502",1,3,1,1,1,2,4,1,1,4,4
"103503",1,1,2,1,1,3,2,1,2,4,1
"103504",4,3,1,1,1,1,4,3,3,3,1
"103505",1,1,1,1,1,1,2,2,3,2,2
"103506",1,1,3,3,1,2,4,1,2,4,4
"103507",2,2,3,1,2,2,3,2,2,3,2
"103508",3,3,2,1,1,3,3,3,2,3,3
"103509",1,1,1,1,1,2,2,1,2,4,4
"103510",3,2,2,2,1,3,2,1,2,4,4
"203401",2,2,2,2,1,2,2,2,1,3,3
"203402",2,1,1,1,1,3,1,1,1,4,4
"203403",2,2,2,1,2,2,2,1,2,3,3
"203404",1,1,1,1,1,1,1,1,1,1,2
"203405",2,2,3,2,3,3,2,2,3,3,3
"203406",1,1,1,1,4,2,3,1,1,4,2
"303201",3,3,1,2,1,4,4,3,1,2,2
"303202",2,2,2,1,1,1,2,1,1,2,4
"303203",2,1,3,2,1,3,3,1,1,4,4
"303204",1,1,1,1,1,2,2,1,2,3,2
"303205",2,2,3,2,3,3,1,1,3,3,3
"303206",2,1,2,2,2,3,1,1,2,3,3
"303207",2,2,2,3,1,2,1,1,1,4,1
"303208",1,1,2,3,2,2,2,1,2,3,3
"303209",2,2,1,2,1,3,1,1,2,3,2
"303210",2,1,2,3,3,3,2,1,1,3,3
"303211",2,2,2,2,2,2,2,2,2,3,2
"104101",2,1,2,2,2,3,1,1,1,3,3
"104102",2,2,2,2,2,2,2,1,2,4,2
"104103",1,1,2,2,2,3,3,1,2,4,2
"104104",1,1,1,2,2,3,3,1,1,1,1
"104105",1,1,2,2,1,1,1,1,2,2,3
"104106",1,2,1,2,1,1,2,2,1,3,3
