"","q1a","q1b","q2","q3","q4","q5","q6a","q6b","q6c","q6d","q6e","q6f","q6g","q7a","q7b","q7c","q7d","q7e","q7f","q7g","q7h","q7i","q7j","q7k","q8a","q8b","q8c","q8d","q8e","q8f","q8g","q8h","q8i","q8j","q8k","q9a","q9b","q9c","q9d","q9e","q9f","q9g","q9h","q9i","q9j","q9k","q9l","q9m","q10a","q10b","q10c","q10d","q10e","q10f","q10g","q10h","q10i","q10j","q10k","q10l","q10m","q11a","q11b","q11c","q11d","q11e","q11f","q11g","q11h","q11i","q12","q13","q14","q15","q16","q17","q18","q19","q20","q21","q22_1","q22_2","q22_3","q22_4","q22_5","q22_6","q23","q24","q25","q26","q27","q28","q29","q30","q31a","q31b","q31c","q31d","q31e","q31f","q31g","q31h","q32_1a","q32_1b","q32_1c","q32_1d","q32_1e","q32_2a","q32_2b","q32_2c","q32_2d","q32_2e","q33a","q33b","q33c","q33d","q33e","q34","q35","q36","q37","q38","q39","q40","q41","q42","q43","q44","q45","q46_1","q46_2","q46_3","q46_4","q47_1","q47_2","q47_3"
"101202",4,22,2,3,2,3,2,2,1,3,3,2,3,2,1,3,2,2,3,1,1,2,4,2,0,1,0,0,1,0,0,0,1,0,0,2,2,2,2,2,1,2,3,3,3,1,3,1,1,0,0,1,0,1,0,0,0,0,0,0,0,3,2,2,2,3,3,3,3,3,2,2,1,3,NA,1,2,2,NA,2,1,1,0,0,0,0,2,2,3,1,1,2,3,2,2,4,1,2,2,1,2,4,1,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,1,3,5,5,3,2,1,1,2,0,1,0,0,1,2,2
"101203",4,22,2,3,2,4,1,3,3,2,3,4,3,3,2,2,3,2,2,1,1,1,4,4,0,0,0,0,0,0,1,1,1,0,0,1,2,4,4,3,2,3,3,2,3,1,3,1,1,0,0,0,0,0,0,0,0,0,1,0,1,2,2,2,1,3,4,4,3,4,1,1,3,1,NA,1,4,2,NA,4,1,0,0,0,1,0,3,2,NA,1,2,4,3,1,2,2,2,3,3,1,2,3,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,10,2,NA,1,2,5,5,2,2,1,1,2,0,0,0,1,1,1,1
"101204",4,24,1,3,2,1,1,2,1,1,4,4,1,4,2,2,2,3,2,2,1,1,1,2,0,0,0,0,0,0,0,1,1,1,0,1,1,4,4,2,1,4,2,1,1,1,1,2,0,1,0,0,0,1,0,0,0,0,1,0,0,2,2,2,1,4,1,1,3,1,1,1,NA,3,3,NA,2,2,NA,3,1,1,0,0,0,0,3,3,2,NA,3,2,4,2,2,3,2,2,3,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,23,1,NA,3,3,4,4,1,2,1,2,NA,NA,NA,NA,NA,1,1,1
"101205",4,23,1,3,1,1,1,3,2,3,3,4,4,3,2,2,2,1,3,3,2,4,4,4,0,1,0,1,1,0,0,0,0,0,0,2,1,3,3,2,2,2,3,2,4,3,4,2,1,1,0,0,0,1,0,0,0,0,0,0,0,4,3,1,2,1,3,3,4,4,1,1,2,3,3,NA,7,1,2,3,1,1,1,0,1,0,2,4,NA,2,2,3,3,8,2,4,2,3,2,4,2,3,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,8,1,NA,1,2,2,2,2,2,1,1,2,0,0,1,0,1,2,2
"101206",4,22,2,3,2,3,4,4,4,4,4,4,3,1,1,3,3,3,2,2,1,4,4,4,1,1,0,0,0,0,0,1,0,0,0,1,2,2,2,3,4,1,2,4,4,4,3,3,1,0,0,0,0,0,1,1,0,0,0,0,0,2,3,3,1,3,1,1,1,1,1,1,4,1,NA,3,2,1,1,1,0,0,1,0,0,0,4,1,2,3,3,3,1,2,2,2,2,3,3,1,2,1,0,0,0,1,0,NA,NA,NA,NA,NA,0,0,1,0,0,4,3,NA,3,4,2,1,2,1,2,1,NA,1,0,1,0,1,1,1
"101207",4,22,1,3,2,1,1,1,2,4,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,0,0,0,0,0,1,0,0,0,2,2,3,3,2,2,2,3,2,2,3,3,2,1,1,0,0,0,0,1,0,0,0,0,0,0,4,2,3,2,1,2,2,3,3,2,2,1,1,1,NA,7,2,NA,4,0,1,1,1,0,1,3,4,1,1,4,2,2,2,2,4,2,1,1,1,2,1,1,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,1,3,4,6,6,2,2,1,1,2,0,0,0,1,1,2,2
"101208",4,22,2,1,2,3,3,3,3,3,4,3,4,2,2,2,2,3,3,2,2,2,4,4,1,0,0,1,0,0,1,0,0,0,0,2,2,3,3,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,1,1,0,0,0,1,2,3,3,2,3,3,3,3,3,1,2,2,3,NA,3,4,1,2,2,0,1,0,0,1,0,3,1,3,3,3,3,3,2,2,3,2,1,3,2,2,3,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,13,1,NA,1,2,3,1,2,1,2,2,NA,NA,NA,NA,NA,1,1,1
"101209",4,21,2,3,2,1,3,1,1,3,3,2,3,2,2,2,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,2,1,3,4,2,1,3,1,2,1,2,2,4,0,1,0,0,0,1,0,0,1,0,0,0,0,2,2,3,1,3,1,1,3,1,1,1,3,3,NA,4,2,1,3,1,1,1,1,1,1,0,3,4,1,1,3,3,3,2,1,3,1,3,3,1,4,3,1,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,2,4,4,2,2,1,1,2,0,0,1,0,1,1,1
"101210",4,21,2,3,2,1,1,1,1,2,2,2,1,1,1,3,2,2,1,2,1,1,3,3,0,1,0,0,0,1,0,1,0,0,0,1,1,2,2,1,1,1,2,2,1,1,2,1,1,0,0,0,0,1,0,0,0,0,1,0,0,2,1,3,2,3,1,1,3,2,1,1,3,3,NA,1,2,1,4,2,0,1,1,0,1,1,1,4,1,1,3,2,3,3,2,4,1,1,1,1,4,3,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,5,1,NA,1,2,6,6,2,2,1,1,2,0,1,0,0,1,1,1
"101211",4,22,1,3,1,1,2,2,3,3,4,3,2,2,3,2,3,2,2,2,3,2,4,3,1,0,0,0,0,1,1,0,0,0,0,2,2,3,3,2,2,2,3,4,3,3,3,2,1,0,0,0,0,0,1,0,0,0,0,0,1,4,2,4,2,3,2,2,2,2,2,1,3,3,3,NA,2,2,NA,3,1,1,1,1,1,0,2,3,1,2,2,2,3,4,2,4,3,2,3,2,2,4,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,12.5,1,NA,1,2,2,2,1,2,1,1,3,1,1,0,0,1,2,2
"101301",3,20,2,2,1,1,2,3,3,2,3,3,3,3,1,2,2,2,3,3,1,2,3,2,0,1,0,1,0,0,0,1,0,0,0,2,2,3,3,2,2,3,2,2,2,2,2,3,0,1,0,0,1,0,0,0,1,0,0,0,0,3,2,3,1,2,2,1,3,3,1,1,3,3,NA,1,2,2,NA,2,1,1,1,0,1,1,2,2,2,3,2,2,4,3,3,4,1,NA,NA,1,3,3,1,0,0,1,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,3,1,4,1,6,2,2,1,2,NA,NA,NA,NA,NA,1,2,2
"101302",3,21,2,2,2,NA,1,2,1,2,1,2,2,2,2,3,2,2,4,2,2,1,4,2,1,0,0,0,1,0,0,0,1,0,0,2,2,3,3,3,2,2,4,1,2,1,2,2,0,0,0,0,0,1,0,0,1,0,1,0,0,2,1,2,3,3,3,2,3,3,1,1,3,3,NA,1,2,2,NA,2,0,1,0,0,1,0,3,5,1,1,2,3,5,4,2,NA,2,4,4,1,2,4,1,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,1,3,4,6,6,3,2,1,1,2,0,1,0,0,1,1,2
"101303",3,21,2,1,2,NA,1,1,1,2,3,2,2,2,2,1,1,1,2,2,1,1,3,2,0,0,1,1,0,1,0,0,0,0,0,2,3,3,3,1,1,2,3,2,1,1,2,2,0,0,0,0,1,1,0,0,0,1,0,0,0,3,1,2,4,4,2,1,3,2,1,1,3,3,NA,1,2,1,1,1,1,1,0,0,0,0,2,5,1,1,2,2,2,2,1,4,1,3,2,1,4,4,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2,2,NA,1,3,4,4,2,2,1,1,3,0,0,1,1,2,2,2
"101304",3,21,1,2,2,NA,2,3,2,1,1,2,2,2,1,2,2,1,3,1,1,2,3,3,0,1,0,0,1,0,0,1,0,0,0,1,2,3,2,2,1,2,2,1,2,2,3,1,1,0,0,0,0,1,0,0,0,0,0,0,1,3,1,1,1,3,2,2,2,2,1,1,3,2,2,NA,2,2,NA,4,0,1,0,0,0,0,3,2,1,1,3,2,0,1,3,2,3,2,2,1,2,2,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,4,2,NA,3,3,1,1,1,2,1,1,NA,0,1,0,0,1,1,1
"101305",2,20,2,1,2,1,3,3,2,2,3,3,3,2,1,2,2,1,2,1,1,2,4,4,0,0,0,0,1,0,1,1,0,0,0,1,1,2,2,1,1,2,3,2,3,2,4,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,2,3,3,3,3,3,1,1,2,3,NA,3,5,2,NA,2,0,1,1,1,0,0,3,3,1,1,2,3,2,3,2,3,1,3,2,1,2,3,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,8,2,NA,3,2,3,3,3,2,1,2,NA,NA,NA,NA,NA,2,2,2
"101306",2,20,2,1,2,1,2,2,2,4,2,3,3,3,2,1,1,1,2,2,2,1,2,2,0,0,1,0,1,0,0,0,1,0,0,2,2,3,3,2,1,3,1,2,1,2,2,2,0,0,0,0,1,1,0,0,0,1,0,0,0,4,1,3,2,3,2,2,3,4,1,1,3,3,NA,3,5,2,NA,2,0,1,0,0,1,0,3,5,1,1,2,2,1,3,2,4,2,4,4,1,2,3,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,NA,2,NA,3,3,4,4,2,2,1,1,2,0,1,0,0,1,1,1
"101307",2,20,2,1,1,1,3,3,2,2,3,3,3,2,2,3,1,1,1,2,2,2,3,1,0,0,0,1,1,0,0,0,0,0,1,2,2,3,3,2,2,2,2,2,2,2,2,2,1,0,0,0,0,1,0,0,0,1,0,0,0,3,2,2,1,2,1,1,2,2,1,1,3,3,NA,3,4,2,NA,2,1,1,0,0,1,0,2,1,1,1,2,2,2,3,2,3,1,2,2,1,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,1,1,8,1,NA,3,2,2,2,3,2,1,1,3,0,0,1,1,1,1,1
"101308",3,21,2,2,2,1,4,3,2,4,4,2,3,1,1,1,1,2,2,3,1,1,3,1,1,0,0,1,0,0,0,0,0,0,1,1,1,2,2,1,1,1,1,2,2,2,2,3,0,1,0,0,0,1,1,0,0,0,0,0,0,3,1,4,1,2,2,2,2,2,1,1,2,3,NA,1,4,2,NA,1,0,1,0,1,1,0,1,2,1,1,4,2,6,1,1,4,1,3,3,1,1,4,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,3,NA,NA,1,4,1,1,NA,2,1,1,2,0,0,0,1,1,1,1
"101309",3,21,2,2,2,1,2,3,2,3,2,2,1,2,2,1,1,1,2,3,2,2,4,2,0,0,0,1,1,0,0,0,1,0,0,1,1,2,3,1,1,2,2,2,2,2,3,3,0,1,0,0,1,1,0,0,0,0,0,0,0,4,2,4,1,4,1,1,2,2,1,1,3,3,NA,1,2,2,NA,1,1,1,0,0,0,0,3,2,1,1,1,NA,3,3,2,4,1,2,2,1,2,4,0,0,0,1,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,2,1,4,1,4,2,2,1,1,2,0,0,0,1,1,2,2
"101310",3,20,2,2,2,1,3,2,2,3,3,2,3,2,2,2,3,2,2,3,2,3,4,4,1,0,1,0,0,1,0,0,0,0,0,2,2,4,4,1,1,2,2,2,2,1,2,2,0,0,0,0,1,1,0,0,0,0,1,0,0,4,2,4,1,3,1,1,2,2,1,1,3,3,NA,3,4,1,4,2,0,1,1,1,1,0,1,4,1,2,2,3,2,3,2,3,1,2,2,1,2,4,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,8,2,NA,1,3,3,2,2,3,2,2,NA,NA,NA,NA,NA,1,1,1
"101401",3,22,1,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,3,3,1,1,0,0,0,0,0,0,1,0,0,2,3,2,3,2,2,2,2,3,2,2,4,3,1,1,1,0,0,0,0,0,0,0,0,0,0,1,2,2,2,1,4,3,3,3,1,1,2,2,3,NA,2,2,NA,3,1,1,0,0,0,0,3,4,3,1,3,2,2,2,2,2,2,2,1,1,2,2,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,10,2,NA,1,2,3,2,3,2,1,1,2,1,0,0,0,1,1,1
"101402",3,22,1,2,2,1,1,2,2,3,3,3,4,1,1,2,2,1,2,3,2,2,3,1,0,1,0,0,1,0,0,0,0,0,1,2,2,3,2,3,1,2,2,1,2,3,3,3,0,0,0,0,0,1,1,0,1,0,0,0,0,3,1,3,3,3,2,1,2,3,1,1,3,2,2,NA,2,2,NA,2,1,1,1,1,1,0,3,3,1,1,3,2,2,4,2,2,3,3,3,1,3,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,8,1,NA,3,2,2,2,2,2,1,1,2,1,0,0,0,1,1,1
"101403",3,20,2,2,2,1,2,2,2,2,3,2,3,1,1,2,1,1,2,1,1,1,3,2,1,1,0,1,0,0,0,0,0,0,0,1,1,2,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,2,2,2,1,2,2,2,2,2,1,1,3,3,NA,3,2,2,NA,1,1,1,0,0,0,0,3,2,2,1,3,2,2,2,1,4,1,2,3,2,3,2,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,10,1,NA,3,2,3,1,1,2,1,2,NA,NA,NA,NA,NA,1,1,2
"101404",3,20,2,2,1,1,2,3,1,1,3,2,1,2,2,3,3,2,4,4,1,1,4,4,0,0,0,0,1,0,0,1,1,0,0,2,1,1,1,1,1,3,2,1,2,2,4,4,0,0,1,1,0,1,0,0,0,0,0,0,0,2,4,4,1,4,1,1,2,1,1,1,3,3,NA,1,1,2,NA,4,1,0,0,0,1,0,3,3,2,1,3,1,3,2,1,4,2,1,3,3,1,1,1,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,1,3,2,6,1,3,2,1,1,3,0,1,1,0,1,2,2
"101405",3,21,1,2,2,1,2,3,2,3,3,3,3,2,2,2,2,2,3,2,1,1,3,3,1,0,0,0,0,0,0,1,1,0,0,1,1,1,2,1,1,2,2,1,2,2,1,2,1,0,1,0,0,0,0,0,1,0,0,0,0,3,2,3,1,3,2,3,3,3,1,1,3,2,3,NA,2,2,NA,2,1,1,0,0,1,0,4,2,2,1,3,2,2,1,2,2,2,3,2,2,2,2,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,10,2,NA,1,2,2,3,2,2,1,1,2,1,0,0,0,1,1,2
"101406",3,21,1,2,2,1,2,1,1,3,3,3,3,2,2,1,1,2,2,2,3,1,1,3,0,0,0,1,0,0,0,0,1,1,0,2,2,3,3,2,2,2,3,3,3,2,3,3,0,0,0,0,1,1,1,0,0,0,0,0,0,3,3,3,1,3,3,3,4,3,1,1,3,3,3,NA,2,1,1,1,1,1,0,0,0,0,3,3,1,1,4,1,1,5,1,2,2,3,3,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,10,2,NA,1,2,2,3,2,2,1,1,2,0,0,0,1,1,1,1
"101407",3,21,2,2,2,1,2,2,1,1,1,3,2,2,3,1,1,1,1,3,2,1,1,1,0,0,0,1,1,0,0,0,1,0,0,3,2,2,2,1,2,2,3,3,3,2,2,3,0,1,0,0,1,1,0,0,0,0,0,0,0,3,1,3,3,1,2,2,3,3,1,1,3,3,NA,1,2,2,NA,2,1,1,0,0,0,0,3,3,2,1,2,2,4,1,2,4,1,2,3,3,4,3,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,10,2,NA,3,3,3,3,3,2,1,1,2,0,0,1,0,1,1,2
"101408",3,20,2,1,2,1,2,3,3,4,3,4,4,3,2,2,2,2,2,2,2,2,3,4,1,0,0,0,0,1,0,0,0,0,1,1,1,2,3,3,2,2,2,3,3,2,2,2,1,0,0,0,0,1,0,0,0,0,1,0,0,3,2,2,3,2,4,4,3,3,1,1,3,3,NA,4,5,2,NA,3,1,1,1,0,0,1,4,1,5,5,3,2,6,2,2,4,1,4,4,1,4,4,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,20,1,NA,3,3,4,4,1,3,2,1,3,1,1,0,0,1,1,1
"101409",3,21,1,2,2,3,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,4,4,1,0,0,0,0,0,0,1,1,0,0,1,1,3,3,3,1,2,2,2,2,1,4,1,1,0,0,0,0,1,0,0,0,0,0,0,1,3,2,2,1,1,2,1,2,2,1,1,2,2,2,NA,2,1,1,3,1,1,0,0,0,0,2,4,1,1,2,2,1,1,2,2,1,1,3,2,2,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,15,1,NA,3,2,2,2,2,1,2,1,3,1,0,1,0,1,1,1
"101410",3,21,2,2,2,3,2,2,1,3,3,2,3,3,3,2,2,2,2,2,2,1,3,2,0,0,1,0,0,0,0,0,1,0,1,2,2,2,2,2,1,2,2,1,1,1,3,1,0,0,0,0,0,1,0,0,1,0,1,0,0,3,1,3,2,4,3,1,2,2,1,1,3,3,NA,1,2,2,NA,2,0,1,0,0,0,1,2,3,3,2,2,2,3,1,2,4,1,2,2,1,2,3,0,0,0,1,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,3,1,4,2,6,2,2,1,1,2,0,1,0,0,1,1,1
"102101",3,22,1,2,1,1,2,2,1,1,3,2,1,1,1,3,2,1,1,2,2,2,3,3,0,1,0,0,1,1,0,0,0,0,0,2,1,3,2,2,2,2,2,3,3,3,2,2,0,1,0,0,1,0,0,1,0,0,0,0,0,2,1,3,1,3,2,2,3,2,1,1,1,2,3,NA,2,2,NA,2,0,1,0,0,1,0,3,2,3,1,1,2,5,3,3,1,2,1,4,4,1,2,1,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,2,1,4,6,6,2,2,1,1,2,0,0,0,1,1,1,1
"102102",3,21,1,2,1,1,1,1,1,4,2,2,2,2,2,2,1,1,2,3,1,1,4,3,0,0,0,1,1,0,0,1,0,0,0,1,1,2,3,1,1,2,2,1,2,3,3,3,1,0,0,0,1,1,0,0,0,0,0,0,0,4,2,3,1,3,1,1,3,2,1,1,3,2,3,NA,2,2,NA,2,1,1,0,0,0,0,1,5,3,1,1,2,5,3,2,2,2,1,1,1,1,3,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,18,1,NA,3,3,6,6,2,2,1,1,3,1,1,0,0,1,1,1
"102103",3,21,2,2,1,5,2,2,2,2,2,3,4,2,2,2,2,2,3,2,2,2,4,2,0,0,0,0,1,0,0,0,1,0,1,2,2,3,3,3,2,2,4,4,4,2,3,2,1,1,0,0,0,1,0,0,0,0,0,0,0,3,2,3,1,3,2,2,2,2,1,1,3,3,NA,3,4,1,3,1,1,0,0,0,0,0,2,5,6,4,2,2,2,3,2,4,1,2,3,1,3,3,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,33,3,NA,1,1,3,3,2,2,1,1,2,1,0,0,0,1,1,1
"102104",3,20,1,2,2,1,1,1,1,1,2,2,1,1,2,1,1,1,2,1,1,1,3,2,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1,1,1,2,2,2,2,3,3,1,0,0,0,0,1,1,0,0,0,0,0,0,1,4,1,3,2,4,2,2,3,3,1,1,1,2,2,NA,2,2,NA,2,0,1,0,0,0,0,3,4,3,1,1,2,1,5,3,4,2,2,2,1,4,3,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,8,1,NA,3,3,4,4,2,2,1,1,3,0,0,0,1,1,2,2
"102105",3,22,1,2,2,3,2,2,2,3,3,4,2,2,2,3,3,1,3,1,1,1,3,2,1,1,0,0,0,0,1,0,0,0,0,2,2,3,3,3,2,2,2,2,2,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,2,2,2,2,3,2,2,2,3,1,1,3,2,2,NA,2,1,4,2,0,1,0,0,0,0,3,1,3,2,3,2,2,2,2,2,2,2,3,3,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,15,3,NA,3,2,3,4,2,1,2,1,2,0,0,0,1,1,1,1
"102106",3,23,2,2,2,1,2,2,2,1,3,2,3,2,2,2,2,1,2,3,3,1,2,3,0,0,0,1,1,0,0,0,1,0,0,2,1,3,3,1,1,2,2,1,2,2,2,3,0,1,0,0,1,1,0,0,0,0,0,0,0,3,3,3,2,3,2,1,3,3,1,1,3,3,NA,3,2,2,NA,1,0,1,1,0,1,0,1,3,1,1,2,2,2,1,2,4,1,1,1,1,2,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,15,2,NA,3,3,3,1,2,2,1,1,2,0,0,1,0,1,1,1
"102107",3,22,1,2,2,1,2,3,2,4,3,2,3,2,2,2,2,1,2,2,1,2,3,3,1,0,0,0,1,0,0,1,0,0,0,1,1,2,3,1,1,2,2,2,2,2,3,2,1,1,0,0,0,1,0,0,0,0,0,0,0,3,2,2,1,2,1,2,2,2,2,2,3,3,1,NA,1,1,1,1,1,1,0,0,0,0,3,3,5,2,3,4,3,2,2,4,1,2,2,1,2,3,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,7,1,NA,1,2,2,2,2,2,1,1,2,0,0,1,0,1,1,2
"102108",3,21,1,2,2,4,1,3,1,2,3,2,1,1,1,3,3,3,2,1,1,2,3,4,0,1,0,0,0,0,1,1,0,0,0,1,3,2,2,2,3,1,1,2,3,1,2,1,1,0,0,0,0,0,1,0,0,0,0,0,1,2,1,2,2,3,2,1,3,2,1,1,3,3,3,NA,2,2,NA,3,0,1,1,0,0,0,2,3,1,1,1,2,3,3,2,3,1,1,2,2,2,3,1,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,2,1,4,6,1,3,2,1,1,3,0,1,1,0,1,1,1
"102109",3,22,2,2,2,1,1,2,1,1,1,2,2,2,1,2,2,1,2,1,1,2,2,3,0,1,0,0,0,0,1,1,0,0,0,1,2,2,2,3,1,2,2,2,3,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,1,2,3,2,2,4,2,1,1,2,3,NA,3,4,1,2,1,1,1,0,0,0,0,2,3,3,1,1,3,2,3,1,2,1,2,1,3,2,2,1,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,2,1,4,1,1,2,2,1,1,2,0,1,0,0,1,1,1
"102110",3,21,1,2,2,1,1,1,1,2,1,2,2,1,1,2,1,2,2,1,1,3,3,2,1,0,0,0,0,0,1,1,0,0,0,1,1,2,1,1,2,1,3,3,3,2,2,1,0,1,0,0,0,0,1,0,0,0,0,0,1,2,1,2,2,1,2,2,3,2,1,1,1,3,3,NA,2,2,NA,2,0,1,0,0,0,0,3,1,1,1,2,2,3,2,1,1,2,1,4,4,1,2,1,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,4,6,6,3,2,1,2,NA,NA,NA,NA,NA,1,1,1
"102111",3,22,2,2,2,3,1,1,1,2,3,3,2,2,2,1,1,1,2,1,1,2,3,4,0,1,0,0,0,0,1,1,0,0,0,1,1,2,2,1,1,2,1,1,1,1,3,1,0,1,0,0,0,1,0,0,0,0,1,0,0,3,2,3,3,3,1,1,2,3,1,1,3,1,NA,1,2,1,3,1,0,1,0,0,1,0,3,2,2,3,3,3,6,3,2,2,2,1,3,3,1,2,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,10,1,NA,1,4,1,1,3,2,1,1,2,1,0,0,0,1,1,2
"102201",3,20,2,2,2,3,1,1,1,2,3,3,2,1,1,1,1,1,1,1,1,3,4,3,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,2,1,1,1,1,1,1,2,1,0,0,1,0,0,0,1,0,0,0,1,0,0,3,1,3,1,2,1,1,3,1,1,1,4,3,NA,5,3,1,2,2,0,1,0,0,0,0,2,4,1,1,3,4,1,1,1,2,2,2,2,1,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,20,4,NA,1,2,2,2,3,2,1,1,2,1,0,0,0,1,1,1
"102202",1,19,1,1,2,4,3,3,2,3,3,3,2,2,1,1,1,1,3,3,2,2,3,2,0,1,1,1,0,0,0,0,0,0,0,2,2,1,3,1,1,3,2,1,2,1,1,3,0,0,0,0,1,1,0,0,1,0,0,0,0,3,1,3,2,3,2,1,3,3,1,1,2,3,1,NA,2,2,NA,3,0,1,1,0,1,0,3,1,1,1,3,3,1,2,3,4,2,2,3,1,4,4,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,10,1,NA,1,2,6,6,2,2,1,1,2,0,0,1,0,1,2,2
"102203",3,21,2,2,2,3,3,3,2,2,2,3,3,2,2,3,2,2,3,2,1,3,4,4,0,1,0,0,1,0,0,1,0,0,0,1,2,3,4,2,1,2,4,2,4,2,2,2,1,0,0,0,1,1,0,0,0,0,0,0,0,4,2,3,3,2,3,3,3,3,1,1,4,1,NA,2,3,2,NA,2,1,1,0,0,0,0,3,3,1,1,2,4,3,3,2,4,1,3,2,1,2,3,1,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,4,2,2,3,2,1,1,2,0,1,0,0,1,1,1
"102204",3,21,2,2,1,3,2,3,2,2,3,4,3,3,2,4,3,2,4,3,1,1,4,4,0,1,0,0,0,0,0,1,1,0,0,2,2,4,3,3,1,3,3,2,2,1,2,3,0,0,0,0,0,1,0,0,1,0,1,0,0,4,2,3,2,3,3,2,4,4,1,2,3,3,NA,3,4,1,3,1,0,1,1,0,0,0,3,3,1,2,2,2,4,3,2,4,1,3,3,2,2,3,1,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,2,1,4,6,6,2,2,1,1,2,0,0,1,0,1,2,2
"102205",2,20,2,1,2,1,3,3,2,3,4,4,4,2,2,2,1,1,2,2,1,1,3,3,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,4,2,4,2,2,2,3,3,3,1,1,2,1,NA,5,5,2,NA,2,1,1,0,0,0,0,3,3,1,1,3,3,1,1,3,4,2,3,3,1,3,3,1,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,2,3,4,2,6,2,2,1,1,2,0,0,1,0,1,1,1
"102206",2,19,2,1,2,1,3,2,2,2,3,4,3,1,1,1,1,1,2,1,2,3,4,4,0,1,0,0,1,0,1,0,0,0,0,1,1,2,2,1,1,2,2,1,3,2,3,2,1,0,0,0,1,1,0,0,0,0,0,0,0,2,2,3,4,1,3,3,3,3,1,1,3,1,NA,3,7,2,NA,2,0,1,0,1,0,0,3,3,1,1,3,1,3,3,2,3,1,2,2,1,1,3,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,17,2,NA,3,1,6,2,2,2,1,2,NA,NA,NA,NA,NA,1,1,2
